,date,name,type,SecuCode,SecuCategory,ListedState
0,2021-12-22, 博力威,update,,,
2,2021-03-12,万国数据,update,,,
3,2021-12-16,万国数据,update,,,
4,2021-11-11 00:00:00,万泰生物,update,603392,1.0,1.0
5,2021-12-17 00:00:00,三七互娱,update,002555,1.0,1.0
6,2021-12-15,三旺通信,update,688618,1.0,1.0
13,2021-12-16,三花智控,update,002050,1.0,1.0
15,2021-04-23 00:00:00,三角轮胎,update,601163,1.0,1.0
16,2021-12-16,上海家化,update,600315,1.0,1.0
17,2021-12-16,上海石化,update,600688,1.0,1.0
27,2021-08-24,业务进展,update,,,
28,2021-01-20,东华能源,update,002221,1.0,1.0
46,2021-02-21,东华能源,update,002221,1.0,1.0
64,2021-03-16 00:00:00,东岳集团,update,,,
65,2021-12-02,东岳集团,update,,,
1,2021-11-19,东岳集团,update,,,
66,2021-10-13 00:00:00,东方教育,update,,,
67,2021-12-16,东方教育,update,,,
68,2021-12-16,东方盛虹,update,000301,1.0,1.0
69,2021-12-15,东方航空,update,,,
134,2021-12-16,东方证券,update,600958,1.0,1.0
78,2021-12-16 00:00:00,东方证券,update,600958,1.0,1.0
182,2021-12-16,东航物流,update,601156,1.0,1.0
183,2021-12-17,东软教育,update,,,
185,2021-12-17,中信出版,update,300788,1.0,1.0
186,2021-07-20 00:00:00,中兴通讯,update,000063,1.0,1.0
188,2021-03-02,中兴通讯,update,000063,1.0,1.0
190,2021-12-16,中兴通讯,update,000063,1.0,1.0
192,2021-12-17,中南传媒,update,601098,1.0,1.0
193,2021-12-16,中南建设,update,000961,1.0,1.0
205,2021-12-16 00:00:00,中国人保,update,601319,1.0,1.0
206,2021-12-16,中国人保,update,601319,1.0,1.0
207,2021-01-27,中国人寿,update,601628,1.0,1.0
213,2021-04-08,中国人寿,update,601628,1.0,1.0
219,2021-09-01,中国人寿,update,601628,1.0,1.0
225,2021-01-29 00:00:00,中国利郎,update,,,
226,2021-12-17,中国化学,update,601117,1.0,1.0
227,2021-12-16,中国国航,update,601111,1.0,1.0
256,2021-04-20,中国太保,update,601601,1.0,1.0
257,2021-06-29,中国太保,update,601601,1.0,1.0
258,2021-12-16,中国太保,update,601601,1.0,1.0
259,2021-12-16,中国广核,update,003816,1.0,1.0
357,2021-04-29,中国电信,update,601728,1.0,1.0
363,2021-09-10,中国电建,update,601669,1.0,1.0
383,2021-04-06,中国神华,update,601088,1.0,1.0
384,2021-11-10,中国神华,update,601088,1.0,1.0
385,2021-12-16,中国神华,update,601088,1.0,1.0
386,2021-12-16,中国能建,update,601868,1.0,1.0
387,2021-06-24 00:00:00,中国航信,update,,,
388,2021-12-17,中国金茂,update,,,
392,2021-09-07,中国铝业,update,601600,1.0,1.0
521,2021-01-28 00:00:00,中国银行,update,601988,1.0,1.0
852,2021-03-08,中天科技,update,600522,1.0,1.0
853,2021-12-16,中宠股份,update,002891,1.0,1.0
854,2021-12-17,中控技术,update,688777,1.0,1.0
855,2021-06-25 00:00:00,中教控股,update,,,
856,2021-12-17,中教控股,update,,,
857,2021-12-16,中文在线,update,300364,1.0,1.0
858,2021-12-17,中材国际,update,600970,1.0,1.0
871,2021-12-16,中汇集团,update,,,
869,2021-06-24 00:00:00,中汇集团,update,,,
870,2021-10-13 00:00:00,中汇集团,update,,,
872,2021-02-02 00:00:00,中泰化学,update,002092,1.0,1.0
916,2021-04-30 00:00:00,中泰化学,update,002092,1.0,1.0
960,2021-11-24,中煤能源,update,601898,1.0,1.0
983,2021-12-16,中煤能源,update,601898,1.0,1.0
1006,2021-02-01 00:00:00,中瓷电子,update,003031,1.0,1.0
1007,2021-12-16,中直股份,update,600038,1.0,1.0
1008,2021-12-17,中科创达,update,300496,1.0,1.0
1009,2021-12-16,中科星图,update,688568,1.0,1.0
1010,2021-09-08,中联重科,update,000157,1.0,1.0
1036,2021-12-16,中航电测,update,300114,1.0,1.0
1037,2021-12-16,中航重机,update,600765,1.0,1.0
1043,2021-12-16,中航高科,update,600862,1.0,1.0
1044,2021-01-11,中远海控,update,601919,1.0,1.0
1045,2021-04-15,中远海控,update,601919,1.0,1.0
1046,2021-12-17,中远海能,update,600026,1.0,1.0
1047,2021-04-16,中通快递,update,,,
1048,2021-12-17,中闽能源,update,600163,1.0,1.0
1049,2021-03-05 00:00:00,中际旭创,update,300308,1.0,1.0
1050,2021-12-16,中骏集团,update,,,
1051,2021-12-16,久之洋,update,300516,1.0,1.0
1060,2021-04-22 00:00:00,云图控股,update,002539,1.0,1.0
1054,2021-01-27 00:00:00,云图控股,update,002539,1.0,1.0
1066,2021-12-15,云海金属,update,002182,1.0,1.0
1067,2021-12-17,云顶新耀,update,,,
1068,2021-06-23 00:00:00,五粮液,update,000858,1.0,1.0
1069,2021-03-01,亨通光电,update,600487,1.0,1.0
1070,2021-12-16,亨通光电,update,600487,1.0,1.0
1071,2021-11-02,人寿近期,update,,,
1072,2021-04-27 00:00:00,人福医药,update,600079,1.0,1.0
1073,2021-03-05 00:00:00,亿田智能,update,300911,1.0,1.0
1074,2021-12-17 00:00:00,伊利股份,update,600887,1.0,1.0
1149,2021-12-17,众安在线,update,,,
1148,2021-02-03,众安在线,update,,,
1150,2021-12-16 00:00:00,优然牧业,update,,,
1151,2021-03-09,会畅通讯,update,300578,1.0,1.0
1152,2021-12-17,伟仕佳杰,update,,,
1153,2021-12-17,伟星新材,update,002372,1.0,1.0
1154,2021-12-15,伟星股份,update,002003,1.0,1.0
1155,2021-12-15,传音控股,update,688036,1.0,1.0
1168,2021-12-17,保利地产,update,,,
1170,2021-12-16 00:00:00,保龄宝,update,002286,1.0,1.0
1171,2021-12-17,信捷电气,update,603416,1.0,1.0
1172,2021-12-16,健盛集团,update,603558,1.0,1.0
1173,2021-12-16,傲农生物,update,603363,1.0,1.0
1174,2021-12-17,光迅科技,update,002281,1.0,1.0
1175,2021-12-17,克来机电,update,603960,1.0,1.0
1275,2021-12-16,兴业证券,update,601377,1.0,1.0
1226,2021-12-16 00:00:00,兴业证券,update,601377,1.0,1.0
1326,2021-12-17,兴业银行,update,601166,1.0,1.0
4212,2021-12-17,兴森科技,update,,,
4213,2021-09-08,冀中能源,update,000937,1.0,1.0
4232,2021-01-25 00:00:00,农业银行,update,601288,1.0,1.0
4233,2021-07-06 00:00:00,农业银行,update,601288,1.0,1.0
4234,2021-02-04,农业银行,update,601288,1.0,1.0
4235,2021-12-16 00:00:00,凯盛科技,update,600552,1.0,1.0
4238,2021-12-16,凯盛科技,update,600552,1.0,1.0
4241,2021-12-16,凯赛生物,update,688065,1.0,1.0
4242,2021-12-17,创业慧康,update,300451,1.0,1.0
4243,2021-12-29,力星股份,update,300421,1.0,1.0
4244,2021-12-16 00:00:00,加加食品,update,002650,1.0,1.0
4245,2021-12-17,华东医药,update,000963,1.0,1.0
4247,2021-12-17,华伍股份,update,300095,1.0,1.0
4248,2021-12-17,华住集团,update,,,
4249,2021-03-30,华侨城A,update,,,
4250,2021-12-16,华侨城A,update,,,
4251,2021-12-16,华利集团,update,300979,1.0,1.0
4252,2021-12-16,华宏科技,update,002645,1.0,1.0
4253,2021-01-25,华工科技,update,000988,1.0,1.0
4259,2021-08-02,华工科技,update,000988,1.0,1.0
4265,2021-12-16,华工科技,update,000988,1.0,1.0
4272,2021-12-17,华阳股份,update,600348,1.0,1.0
4271,2021-07-26 00:00:00,华阳股份,update,600348,1.0,1.0
4273,2021-12-17,南玻A,update,,,
4274,2021-07-27 00:00:00,博雅生物,update,300294,1.0,1.0
4275,2021-12-16,卫星化学,update,002648,1.0,1.0
4276,2021-03-31,厦门钨业,update,600549,1.0,1.0
4310,2021-02-09 00:00:00,合盛硅业,update,603260,1.0,1.0
4316,2021-12-17,吉亚医疗,update,,,
4318,2021-12-17,吉比特,update,603444,1.0,1.0
4319,2021-03-04 00:00:00,吉祥航空,update,603885,1.0,1.0
4322,2021-12-17,君实生物,update,688180,1.0,1.0
4323,2021-12-16,周大生,update,002867,1.0,1.0
4324,2021-12-15,周黑鸭,update,,,
4325,2021-12-15,四方光电,update,688665,1.0,1.0
4326,2021-12-16,四维图新,update,002405,1.0,1.0
4328,2021-02-09 00:00:00,回天新材,update,300041,1.0,1.0
4329,2021-12-16 00:00:00,回天新材,update,300041,1.0,1.0
4330,2021-09-16,国投电力,update,600886,1.0,1.0
4340,2021-12-17,国投电力,update,600886,1.0,1.0
4350,2021-12-16,国林科技,update,300786,1.0,1.0
4351,2021-08-02 00:00:00,国瓷材料,update,300285,1.0,1.0
4352,2021-03-26,国电南瑞,update,600406,1.0,1.0
4354,2021-12-16,国电南瑞,update,600406,1.0,1.0
4356,2021-12-17,国际集团,update,,,
4357,2021-12-17,圣农发展,update,002299,1.0,1.0
4358,2021-11-17 00:00:00,圣湘生物,update,688289,1.0,1.0
4359,2021-02-02 00:00:00,地素时尚,update,603587,1.0,1.0
4360,2021-12-16,地素时尚,update,603587,1.0,1.0
4361,2021-12-17,城悦服务,update,,,
4362,2021-09-13,基因治疗,update,,,
4363,2021-02-25 00:00:00,塑联内部,update,,,
4364,2021-12-15,复旦张江,update,688505,1.0,1.0
4365,2021-12-16,复星国际,update,,,
4366,2021-12-17,大北农,update,002385,1.0,1.0
4367,2021-12-16,大族激光,update,002008,1.0,1.0
4373,2021-02-23,天准科技,update,688003,1.0,1.0
4374,2021-02-04,天合光能,update,688599,1.0,1.0
4375,2021-10-29 00:00:00,天坛生物,update,600161,1.0,1.0
4376,2021-12-17,天孚通信,update,300394,1.0,1.0
4377,2021-12-29,天德化工,update,,,
4378,2021-11-15,太保近期,update,,,
4379,2021-12-16,奇安信,update,688561,1.0,1.0
4380,2021-12-16,奥普特,update,688686,1.0,1.0
4381,2021-12-16 00:00:00,妙可蓝多,update,600882,1.0,1.0
4382,2021-03-11,威胜信息,update,688100,1.0,1.0
4383,2021-12-16,威胜信息,update,688100,1.0,1.0
4384,2021-12-22,威胜信息,update,688100,1.0,1.0
5639,2021-11-10,宁波银行,update,002142,1.0,1.0
4385,2021-04-28 00:00:00,宁波银行,update,002142,1.0,1.0
6893,2021-12-15,安好医生,update,,,
6894,2021-12-15 00:00:00,安琪酵母,update,600298,1.0,1.0
6900,2021-12-17,安能物流,update,,,
6901,2021-12-16,完美世界,update,002624,1.0,1.0
6902,2021-12-16,宏力达,update,688330,1.0,1.0
6904,2021-06-25,宏川智慧,update,002930,1.0,1.0
6906,2021-12-16,宏川智慧,update,002930,1.0,1.0
6907,2021-01-28 00:00:00,宝丰能源,update,600989,1.0,1.0
6908,2021-12-17,宝通科技,update,300031,1.0,1.0
6909,2021-12-17,宝龙商业,update,,,
6912,2021-04-30 00:00:00,密尔克卫,update,603713,1.0,1.0
6913,2021-01-28,富途控股,update,,,
6915,2021-10-25,川恒股份,update,002895,1.0,1.0
6914,2021-08-30,川恒股份,update,002895,1.0,1.0
6916,2021-03-05 00:00:00,帅丰电器,update,605336,1.0,1.0
6917,2021-12-17,师傅控股,update,,,
6918,2021-12-14,平安近期,update,,,
6919,2021-07-08 00:00:00,平安银行,update,000001,1.0,1.0
8974,2021-12-16,平安银行,update,000001,1.0,1.0
11029,2021-12-16,平煤股份,update,601666,1.0,1.0
11044,2021-12-15,广和通,update,300638,1.0,1.0
11045,2021-12-16,广州发展,update,600098,1.0,1.0
11046,2021-12-16 00:00:00,康希诺,update,688185,1.0,1.0
11047,2021-01-26 00:00:00,建设银行,update,601939,1.0,1.0
11049,2021-04-21 00:00:00,建龙微纳,update,688357,1.0,1.0
11051,2021-12-15,开润股份,update,300577,1.0,1.0
11052,2021-11-15,张家港行,update,002839,1.0,1.0
11054,2021-12-17,德创环保,update,603177,1.0,1.0
11055,2021-12-16,德生科技,update,002908,1.0,1.0
11056,2021-12-16 00:00:00,心动公司,update,,,
11057,2021-12-17,心玮医疗,update,,,
11058,2021-01-27 00:00:00,心连心,update,,,
11060,2021-12-16,志特新材,update,300986,1.0,1.0
11061,2021-12-16,恒力石化,update,,,
11062,2021-12-16,恒瑞医药,update,600276,1.0,1.0
11063,2021-12-16,恒而达,update,300946,1.0,1.0
11065,2021-12-17,我爱我家,update,000560,1.0,1.0
11064,2021-04-20,我爱我家,update,000560,1.0,1.0
11066,2021-12-16,招商蛇口,update,001979,1.0,1.0
11112,2021-05-20 00:00:00,招商银行,update,600036,1.0,1.0
12239,2021-12-17,振华科技,update,000733,1.0,1.0
12240,2021-12-16,振芯科技,update,300101,1.0,1.0
12241,2021-12-17,控股集团,update,,,
12242,2021-01-26,新华保险,update,601336,1.0,1.0
12247,2021-05-25,新华保险,update,601336,1.0,1.0
12254,2021-12-16,新城控股,update,601155,1.0,1.0
12286,2021-12-16,新奥股份,update,600803,1.0,1.0
12287,2021-11-25,新宝股份,update,002705,1.0,1.0
12288,2021-03-02 00:00:00,新疆天业,update,600075,1.0,1.0
12290,2021-04-27 00:00:00,新鑫矿业,update,,,
12291,2021-04-29 00:00:00,新高教,update,,,
12292,2021-12-16,方达控股,update,,,
12293,2021-11-10,无锡银行,update,600908,1.0,1.0
12294,2021-11-11,旭阳集团,update,,,
12295,2021-05-10,昊华科技,update,600378,1.0,1.0
12296,2021-01-05 00:00:00,昊志机电,update,300503,1.0,1.0
12297,2021-12-08,明泰铝业,update,601677,1.0,1.0
12298,2021-02-01,星源材质,update,300568,1.0,1.0
12299,2021-06-24 00:00:00,春秋航空,update,601021,1.0,1.0
12306,2021-12-17,春秋航空,update,601021,1.0,1.0
12313,2021-12-17,晋控煤业,update,601001,1.0,1.0
12314,2021-12-16,晓鸣股份,update,300967,1.0,1.0
12315,2021-09-15,智度股份,update,000676,1.0,1.0
12316,2021-12-17,朗新科技,update,300682,1.0,1.0
12317,2021-08-27 00:00:00,李子园,update,605337,1.0,1.0
12326,2021-12-16,杭州银行,update,600926,1.0,1.0
13214,2021-03-31,杰普特,update,688025,1.0,1.0
13217,2021-12-16,杰普特,update,688025,1.0,1.0
12318,2021-11-26,极米科技,update,688696,1.0,1.0
13218,2021-12-16,桐昆股份,update,601233,1.0,1.0
13241,2021-04-27 00:00:00,森麒麟,update,002984,1.0,1.0
13240,2021-02-10 00:00:00,森麒麟,update,002984,1.0,1.0
13242,2021-12-17,欢瑞世纪,update,000892,1.0,1.0
13243,2021-12-16,欧普照明,update,603515,1.0,1.0
13244,2021-12-16,正荣服务,update,,,
13245,2021-07-01 00:00:00,汇川技术,update,300124,1.0,1.0
13246,2021-07-19 00:00:00,汇川技术,update,300124,1.0,1.0
13247,2021-12-17,汇川技术,update,300124,1.0,1.0
13256,2021-12-16,江苏银行,update,600919,1.0,1.0
14469,2021-03-30,江西铜业,update,600362,1.0,1.0
14474,2021-07-28 00:00:00,泛生子,update,,,
14475,2021-12-17,泰富集团,update,,,
14476,2021-12-16 00:00:00,洽洽食品,update,002557,1.0,1.0
14477,2021-12-16,派克新材,update,605123,1.0,1.0
14478,2021-12-16,浙数文化,update,600633,1.0,1.0
14479,2021-12-17,海兰信,update,300065,1.0,1.0
14480,2021-08-26 00:00:00,海尔生物,update,688139,1.0,1.0
14481,2021-12-17,海格通信,update,002465,1.0,1.0
14485,2021-12-15,海能达,update,002583,1.0,1.0
14487,2021-03-15,深南电路,update,002916,1.0,1.0
14489,2021-08-25,深南电路,update,002916,1.0,1.0
14490,2021-12-16,深圳燃气,update,601139,1.0,1.0
14491,2021-12-16,深圳瑞捷,update,300977,1.0,1.0
14492,2021-12-16,温氏股份,update,300498,1.0,1.0
14498,2021-12-16,湘电股份,update,600416,1.0,1.0
14501,2021-12-17,炬华科技,update,300360,1.0,1.0
14500,2021-01-12,炬华科技,update,300360,1.0,1.0
14502,2021-07-28 00:00:00,燃石医学,update,,,
14503,2021-03-16,燃石医学,update,,,
14504,2021-12-22,珠海冠宇,update,688772,1.0,1.0
14505,2021-12-15,申洲国际,update,,,
14506,2021-03-30,申通快递,update,002468,1.0,1.0
14510,2021-06-24 00:00:00,电话会议,update,,,
14511,2021-12-17,登海种业,update,002041,1.0,1.0
14512,2021-09-08 00:00:00,白云机场,update,600004,1.0,1.0
14538,2021-07-06 00:00:00,百克生物,update,688276,1.0,1.0
14539,2021-06-10 00:00:00,皖维高新,update,600063,1.0,1.0
14543,2021-03-31,盐湖股份,update,000792,1.0,1.0
14542,2021-06-18 00:00:00,盐湖股份,update,000792,1.0,1.0
14541,2021-06-17 00:00:00,盐湖股份,update,000792,1.0,1.0
14540,2021-06-15 00:00:00,盐湖股份,update,000792,1.0,1.0
14544,2021-12-16,盛剑环境,update,603324,1.0,1.0
14545,2021-09-26,盛新锂能,update,002240,1.0,1.0
14546,2021-03-02,盛达资源,update,000603,1.0,1.0
14547,2021-01-25,石化经营,update,,,
14548,2021-12-16,石头科技,update,688169,1.0,1.0
14569,2021-08-23,神马股份,update,600810,1.0,1.0
14570,2021-01-22 00:00:00,福斯特,update,603806,1.0,1.0
14571,2021-11-05,福能股份,update,600483,1.0,1.0
14572,2021-12-17,福能股份,update,600483,1.0,1.0
14573,2021-12-16,禾丰股份,update,603609,1.0,1.0
14574,2021-02-05,科华数据,update,002335,1.0,1.0
14575,2021-12-16,科技制药,update,,,
14576,2021-12-16,科技科技,update,,,
14577,2021-12-16,科济药业,update,,,
14578,2021-12-17,科锐国际,update,300662,1.0,1.0
14579,2021-02-25,移为通信,update,300590,1.0,1.0
14580,2021-12-17,立华股份,update,300761,1.0,1.0
14582,2021-10-25,纳尔股份,update,002825,1.0,1.0
14581,2021-09-28,纳尔股份,update,002825,1.0,1.0
14583,2021-08-24 00:00:00,纳微科技,update,688690,1.0,1.0
14584,2021-08-11,经营情况,update,,,
14585,2021-10-27,经营情况,update,,,
14586,2021-12-17,绿城中国,update,,,
14607,2021-03-24,美的集团,update,000333,1.0,1.0
14629,2021-12-15,美的集团,update,000333,1.0,1.0
14640,2021-12-17,美锦能源,update,000723,1.0,1.0
14641,2021-12-17,老板电器,update,002508,1.0,1.0
14644,2021-08-26,联瑞新材,update,688300,1.0,1.0
14645,2021-12-16,肇民科技,update,301000,1.0,1.0
14646,2021-01-04 00:00:00,胜宏科技,update,300476,1.0,1.0
14648,2021-12-17,航天宏图,update,688066,1.0,1.0
14650,2021-12-15,良品铺子,update,603719,1.0,1.0
14649,2021-12-15,良品铺子,update,603719,1.0,1.0
14840,2021-12-17,苏州银行,update,002966,1.0,1.0
15446,2021-12-15,苏文电能,update,300982,1.0,1.0
15447,2021-12-17,荣盛石化,update,002493,1.0,1.0
15452,2021-09-07,莱克电气,update,603355,1.0,1.0
15453,2021-12-16,蓝色光标,update,300058,1.0,1.0
15469,2021-01-19 00:00:00,虹新能源,update,,,
15471,2021-12-17,行动教育,update,605098,1.0,1.0
15472,2021-08-12,裕兴股份,update,300305,1.0,1.0
15485,2021-07-19 00:00:00,西部矿业,update,601168,1.0,1.0
15474,2021-07-07 00:00:00,西部矿业,update,601168,1.0,1.0
15495,2021-01-08 00:00:00,西麦食品,update,002956,1.0,1.0
15496,2021-12-16,西麦食品,update,002956,1.0,1.0
14568,2021-12-16,视觉中国,update,000681,1.0,1.0
15497,2021-08-18 00:00:00,诺唯赞,update,688105,1.0,1.0
15498,2021-03-09,贝仕达克,update,300822,1.0,1.0
15499,2021-12-17,赛意信息,update,300687,1.0,1.0
15501,2021-08-20,赛特新材,update,688398,1.0,1.0
15503,2021-12-17,赛特新材,update,688398,1.0,1.0
15504,2021-04-27 00:00:00,赛轮轮胎,update,,,
15505,2021-08-16,赞宇科技,update,002637,1.0,1.0
15506,2021-04-15,达利食品,update,,,
15507,2021-12-15,达利食品,update,,,
15508,2021-04-28,迈瑞医疗,update,300760,1.0,1.0
15509,2021-02-23 00:00:00,远兴能源,update,000683,1.0,1.0
15511,2021-12-16,远洋服务,update,,,
15512,2021-12-15,迪普科技,update,300768,1.0,1.0
15540,2021-01-19 00:00:00,邮储银行,update,601658,1.0,1.0
15576,2021-07-06 00:00:00,邮储银行,update,601658,1.0,1.0
15992,2021-11-05,重庆银行,update,601963,1.0,1.0
16258,2021-12-16,金地集团,update,600383,1.0,1.0
16310,2021-12-21,金田铜业,update,601609,1.0,1.0
16311,2021-12-17,金科服务,update,,,
16312,2021-09-01,金科股份,update,000656,1.0,1.0
16313,2021-12-17,金科股份,update,000656,1.0,1.0
16314,2021-03-22,金能科技,update,603113,1.0,1.0
16315,2021-06-25,金能科技,update,603113,1.0,1.0
16317,2021-12-16,长江电力,update,600900,1.0,1.0
16316,2021-03-12,长江电力,update,600900,1.0,1.0
16319,2021-08-29,长阳科技,update,688299,1.0,1.0
16320,2021-12-16,长高集团,update,002452,1.0,1.0
16321,2021-01-20 00:00:00,闻泰科技,update,600745,1.0,1.0
16322,2021-02-19,陕西煤业,update,601225,1.0,1.0
16325,2021-06-24,陕西煤业,update,601225,1.0,1.0
16328,2021-12-16,陕西煤业,update,601225,1.0,1.0
16331,2021-12-17,隆平高科,update,000998,1.0,1.0
16332,2021-04-27 00:00:00,震安科技,update,300767,1.0,1.0
16334,2021-02-22,震有科技,update,688418,1.0,1.0
16335,2021-12-17,靖远煤电,update,000552,1.0,1.0
16337,2021-12-23,顺丰控股,update,002352,1.0,1.0
16336,2021-04-16 00:00:00,顺丰控股,update,002352,1.0,1.0
16338,2021-12-17,顺网科技,update,300113,1.0,1.0
16339,2021-08-28,香飘飘,update,603711,1.0,1.0
16340,2021-12-17,高德红外,update,002414,1.0,1.0
16341,2021-12-17,高能环境,update,603588,1.0,1.0
16344,2021-09-07 00:00:00,鲁北化工,update,600727,1.0,1.0
16345,2021-12-16 00:00:00,鹤小范围,update,,,
16346,2021-08-24,龙佰集团,update,002601,1.0,1.0
16347,2021-10-26,龙佰集团,update,002601,1.0,1.0
16348,2021-12-16,龙光集团,update,,,
16349,2021-12-16,龙湖集团,update,,,
16351,2021-03-16 00:00:00,龙蟒佰利,update,,,
16352,2021-03-17 00:00:00,龙蟒佰利,update,,,
16350,2021-01-21 00:00:00,龙蟒佰利,update,,,
16353,2021-03-19 00:00:00,龙蟒佰利,update,,,
